"ID","Name","Component","CA","CCO","CE","CEE","CEG","CI","CLLOC","CR","CV","NCR","Clone Metric Rules"
"C107","0~CloneClass","L103","1","8","260","22.6087","0.338462","2","11","7.65217","1","0.0434783","1"
"C121","3~CloneClass","L103","1","2","17","1.47826","1.64706","2","14","2.43478","1","0.0434783","0"
"C122","6~CloneClass","L103","1","3","19","2.47826","1.68421","3","10.6667","4.17391","1","0.0434783","1"
"C130","10~CloneClass","L103","1","2","329","28.6087","0.0607903","2","10","1.73913","1","0.0434783","1"
"C156","13~CloneClass","L103","1","4","505","87.8261","0.0871287","4","11","7.65217","1","0.0434783","2"
"C177","18~CloneClass","L103","1","2","123","10.6957","0.211382","2","13","2.26087","1","0.0434783","1"
"C178","21~CloneClass","L103","1","2","107","9.30435","0.205607","2","11","1.91304","1","0.0434783","1"
"C251","24~CloneClass","L103","1","3","307","40.0435","0.0977199","3","10","3.91304","1","0.0434783","2"
"C270","28~CloneClass","L103","1","2","452","39.3043","0.0530973","2","12","2.08696","1","0.0434783","1"
"C312","31~CloneClass","L103","1","4","247","42.9565","0.161943","4","10","6.95652","1","0.0434783","2"
"C427","36~CloneClass","L103","1","2","725","63.0435","0.057931","2","21","3.65217","1","0.0434783","1"
"C439","39~CloneClass","L103","1","2","387","33.6522","0.0516796","2","10","1.73913","1","0.0434783","1"
"C482","42~CloneClass","L103","1","5","31","6.73913","1.6129","5","10","10.8696","1","0.0434783","1"
"C493","48~CloneClass","L103","1","3","853","111.261","0.045721","3","13","5.08696","1","0.0434783","2"
"C505","52~CloneClass","L103","1","4","212","36.8696","0.207547","4","11","7.65217","1","0.0434783","2"
"C510","57~CloneClass","L103","1","2","85","7.3913","0.635294","2","27","4.69565","1","0.0434783","0"
"C541","60~CloneClass","L103","1","2","196","17.0435","0.122449","2","12","2.08696","1","0.0434783","1"
"C547","63~CloneClass","L103","1","4","246","42.7826","0.162602","4","10","6.95652","1","0.0434783","2"
"C590","68~CloneClass","L103","1","2","388","33.7391","0.056701","2","11","1.91304","1","0.0434783","1"
"C637","71~CloneClass","L103","1","4","649","188.116","0.0924499","4","15","17.3913","1","0.0724638","2"
"C638","76~CloneClass","L103","1","4","645","186.957","0.0744186","4","12","13.913","1","0.0724638","2"
"C715","81~CloneClass","L103","1","2","157","13.6522","0.140127","2","11","1.91304","1","0.0434783","1"
"C736","84~CloneClass","L103","1","3","1750","228.261","0.0228571","3","13.3333","5.21739","1","0.0434783","2"
"C743","88~CloneClass","L103","1","2","179","15.5652","0.122905","2","11","1.91304","1","0.0434783","1"
"C789","91~CloneClass","L103","1","3","366","47.7391","0.0983607","3","12","4.69565","1","0.0434783","2"
"C794","95~CloneClass","L103","1","2","156","13.5652","0.179487","2","14","2.43478","1","0.0434783","1"
"C804","98~CloneClass","L103","1","4","209","36.3478","0.344498","2","18","12.5217","1","0.0869565","1"
"C886","101~CloneClass","L103","1","10","17","1.47826","7.05882","2","12","10.4348","1","0.0434783","0"
"C894","104~CloneClass","L103","1","2","101","8.78261","0.217822","2","11","1.91304","1","0.0434783","0"
"C895","107~CloneClass","L103","1","2","333","28.9565","0.0660661","2","11","1.91304","1","0.0434783","1"
"C902","110~CloneClass","L103","1","2","487","42.3478","0.0800821","2","19.5","3.3913","1","0.0434783","1"
"C903","113~CloneClass","L103","1","2","469","40.7826","0.0639659","2","15","2.6087","1","0.0434783","1"
"C904","116~CloneClass","L103","1","2","469","40.7826","0.0511727","2","12","2.08696","1","0.0434783","1"
"C911","119~CloneClass","L103","1","2","151","13.1304","0.172185","2","13","2.26087","1","0.0434783","1"
"C912","122~CloneClass","L103","1","2","335","29.1304","0.101493","2","17","2.95652","1","0.0434783","1"
