"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L145","person","example.AssertionsDemo.person;Lexample/Person;","L138","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\AssertionsDemo.java","30","2","30","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L242","firstName","example.Person.firstName;Ljava/lang/String;","L147","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\AssertionsDemo.java","149","2","149","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L243","lastName","example.Person.lastName;Ljava/lang/String;","L147","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\AssertionsDemo.java","150","2","150","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L800","logger","example.RepeatedTestsDemo.logger;Ljava/util/logging/Logger;","L798","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\RepeatedTestsDemo.java","26","2","28","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L880","stack","example.TestingAStackDemo.stack;Ljava/util/Stack;","L878","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\TestingAStackDemo.java","30","2","30","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L951","LOG","example.testinterface.TestLifecycleLogger.LOG;Ljava/util/logging/Logger;","L930","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\testinterface\TestLifecycleLogger.java","27","2","27","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1060","LOG","example.timing.TimingExtension.LOG;Ljava/util/logging/Logger;","L964","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\timing\TimingExtension.java","33","2","33","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25796","gradleProperties","org.junit.AutomaticModuleNameTests.gradleProperties;Ljava/util/Properties;","L25793","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\platform-tests\src\test\java\org\junit\AutomaticModuleNameTests.java","39","2","39","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L466","random","example.DynamicTestsDemo$1.random;Ljava/util/Random;","L465","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\DynamicTestsDemo.java","121","4","121","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L476","current","example.DynamicTestsDemo$1.current;I","L465","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\DynamicTestsDemo.java","128","4","128","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L913","anElement","example.TestingAStackDemo$WhenNew$AfterPushing.anElement;Ljava/lang/String;","L911","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\TestingAStackDemo.java","69","4","69","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2759","MAX_SNIPPET_LENGTH","org.junit.jupiter.api.AssertLinesMatch.MAX_SNIPPET_LENGTH;I","L2755","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertLinesMatch.java","39","2","39","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3177","children","org.junit.jupiter.api.DynamicContainer.children;Ljava/util/stream/Stream;","L3154","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\DynamicContainer.java","65","2","65","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3186","displayName","org.junit.jupiter.api.DynamicNode.displayName;Ljava/lang/String;","L506","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\DynamicNode.java","28","2","28","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3236","executable","org.junit.jupiter.api.DynamicTest.executable;Lorg/junit/jupiter/api/function/Executable;","L396","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\DynamicTest.java","101","2","101","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3731","DISPLAY_NAME_PLACEHOLDER","org.junit.jupiter.api.RepeatedTest.DISPLAY_NAME_PLACEHOLDER;Ljava/lang/String;","L833","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\RepeatedTest.java","64","2","64","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
